Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,..,17275940449.3837,19231747851.5332,23287712878.2002,20963733694.9749,22465522884.0988,28283323733.1114,31086389194.961,33930457425.2613,37171640818.5863,42327664793.6934,48869830901.7878,58434858374.8696,83592275862.9982,109794519727.538,129203555238.827,153168949208.207,176344101401.941,200278646123.581,221338204480.222,237393489892.637,258015174748.648,271314113768.417,189656506321.431,188339974086.58,210879841322.306,256480855343.617,283056833878.212,308333568571.493,347028139590.227,390725626002.866,342609227209.645,328187944300.908,368295777770.079,525369851353.742,769333330368.987,850426433004.077,883206452795.124,863711007325.493,599642075004.471,655448188259.351,559983704094.17,509795270685.19,558233724164.711,669289321944.516,891633826603.377,1107626711406.63,1397114247331.17,1695855391810.9,1666996294372.87,2208838108577.09,2616156606666.62,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78,1444733258971.65
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19839230769.2308,19870000000,19342000000,16563666666.6667,17594944444.4444,17155421052.6316,20249294117.6471,28101000000,22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,18983303571.4286,12294221472.7375,11315986087.1633,15030695296.5235,13627323284.5405,13245833843.5454,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50682061053.2016,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40461721692.6468,40934952063.9468,42227447631.9159,45029988561.2124,49377522896.703,54515179580.7148,61088384036.6515,65668655501.1254,71829810519.8955,79148411661.6902,87896095320.1263,99271961774.6088,113082820486.918,131321858814.119,160408697341.513,173834029689.343,206575564908.722,211612157028.679,218632867537.477,243072102612.259,273853826548.067,306214863624.99,313506525087.136,340547711781.889,355372558103.621,364756499450.751,377437927311.983,431316742081.448,507354351182.254,565055743243.243,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,654986999855.554,634000000000,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4110000000,4609727272.72727,5416272727.27273,5668187500,5982347826.08696,6026593750,7072641025.64103,7013196078.43137,7167086956.52174,8377093023.25581,9126309734.51328,10884114754.0984,11853817307.6923,16836261173.1844,16210404183.5358,7622217352.34216,10341925249.0421,13962893421.5413,15989933708.1491,21803696985.2349,29036709871.7949,34509878043.5897,25325893205.657,20355959237.2128,19622527479.6913,17702885393.5099,18891048818.7425,22255407684.6999,26040229793.0697,29885685142.9107,33113887817.9731,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4958,81577430181.4602,75173794497.0494,77860932151.9302,70979923960.3422,69736811435.1319,75643459839.5605,99210392857.6283,122964812046.139,154788024805.865,173605968179.267,179638496278.497,172389498444.68,218537551220.123,252251992029.518,267122320056.772,278384332694.3,260541637327.855,243919079437.422,250440149690.846,277034675515.684,297571693064.193,279385487344.492,252940023046.007
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625.3148,50056868957.6732,47209359005.6057,50706799902.5104,59708343488.5043,70436266146.7219,76720285969.6157,72881631326.6715,70846535055.6503,79705906247.4612,92602973434.0726,99800958648.1436,113687586299.051,138544284708.957,144182133387.722,163431551779.761,153940455341.506,174938098826.569,149540752829.268,178280594413.043,191149211575,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564324670008.238,734547898224.101,863746717507.397,961603952954.233,1029043097558.91,1093997267277.1,1211346869600.41,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.2,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431,14722730697890.1
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,4031152976.63904,4540447761.19403,4955543963.36869,4836166666.66667,5973366666.66667,5760761904.7619,5428518518.51852,5825170438.48704,5960212869.12968,6450175213.74923,7198360460.19887,7820380970.53674,8671358732.68486,10315760000.3394,12370029583.6419,13098633901.8673,15341403660.4698,19470960619.1297,23263511958.0509,27940411250.2732,33400735644.0481,36388366869.0309,38968039721.748,38729822781.5997,38253120737.9671,34894411351.983,34942489683.9712,36373307085.0887,39212550050.4223,39540080200.3938,47844090709.9908,49175565911.0655,58418985443.3172,66446804802.5747,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619191582.062,161618581266.316,206181826825.281,242186950900.775,232397835678.336,286563105192.457,334943871931.746,370921320483.842,382116126448.555,381112119657.446,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271437596293.843
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22717081924.7143,24075166261.3779,24091170702.5562,25792876643.5087,23677307509.4663,21839780971.0268,23273640257.1968,27074550257.8118,34985749883.4171,41958833541.0995,45780237257.1867,50860788253.2176,60542673502.5324,70750646248.0563,63084004705.0807,60426018629.2992,63169910822.1285,57192346923.335,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,489914760.682807,576090073.715036,734887973.975806,964026512.197839,1288715209.58084,2154311276.94859,2087496373.77964,2159242416.76942,2160364071.19021,2278248953.14058,2430411900.19194,3090734463.27684,3704813885.50548,4278792597.23965,4563482603.5503,5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24612646487.7213
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40728950704.6176,29859921158.8696,34805013229.572,40866748705.1075,47850203856.1751,60147174076.8651,67387788632.9812,62180159376.1239,66807429711.411,65173130995.2212,61828166496.0941,67808032979.5429,82196001050.7474,100090467581.268,119814434353.575,137143471328.274,156264095664.643,190183800884.018,236816485762.988,207434296805.33,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245339322066.759
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,11931739858.7046,13059064374.6287,13505573866.6667,15414902266.6667,17075457600,19085731252.4407,23232379951.9376,30730626663.3606,34160444798.1099,40474406216.2821,44575892473.1183,49784338519.4563,60362931853.6249,70366241969.2074,71127528699.9414,61877813965.2413,60412844678.604,60644782176.0525,59105236853.7937,62658568287.3429,88078760103.8191,109414423928.775,115552846616.653,112409222182.704,138247285815.855,139224688814.195,152915654478.885,143195627014.605,156162386724.523,185006881515.065,187632346387.984,173537647058.824,176991934992.837,177965188354.692,164158739097.623,164791442543.375,178635163717.431,218096033517.009,251373002954.382,264467336457.17,282884947702.966,319423424509.066,353361038818.383,321241303699.006,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639
